STATION_ID,STATION,STATE,LATITUDE,LONGITUDE,ELEVATION
KDIX,PHILADELPHIA,NJ,39.94694,-74.41111,149
KIWA,PHOENIX,AZ,33.28917,-111.66917,1353
KPBZ,PITTSBURGH,PA,40.53167,-80.21833,1185
KSFX,POCATELLO,ID,43.10583,-112.68528,4474
KGYX,PORTLAND,ME,43.89139,-70.25694,409
KRTX,PORTLAND,OR,45.715,-122.96417,463
KPUX,PUEBLO,CO,38.45944,-104.18139,5249
KRAX,RALEIGH DURHAM,NC,35.66528,-78.49,348
KUDX,RAPID CITY,SD,44.125,-102.82944,3016
KRGX,RENO,NV,39.75417,-119.46111,8299
KRIW,RIVERTON,WY,43.06611,-108.47667,5568
KFCX,ROANOKE,VA,37.02417,-80.27417,2868
KJGX,ROBINS AFB,GA,32.675,-83.35111,521
KDAX,SACRAMENTO,CA,38.50111,-121.67667,30
KMTX,SALT LAKE CITY,UT,41.26278,-112.44694,6460
KSJT,SAN ANGELO,TX,31.37111,-100.49222,1890
KNKX,SAN DIEGO,CA,32.91889,-117.04194,955
KMUX,SAN FRANCISCO,CA,37.15528,-121.8975,3469
KHNX,SAN JOAQUIN VALLEY,CA,36.31417,-119.63111,243
KSOX,SANTA ANNA MOUNTAINS,CA,33.81778,-117.635,3027
KATX,SEATTLE,WA,48.19472,-122.49444,494
KSHV,SHREVEPORT,LA,32.45056,-93.84111,273
KFSD,SIOUX FALLS,SD,43.58778,-96.72889,1430
KOTX,SPOKANE,WA,47.68056,-117.62583,2384
KSGF,SPRINGFIELD,MO,37.23528,-93.40028,1278
KLSX,ST LOUIS,MO,38.69889,-90.68278,608
KCCX,STATE COLLEGE,PA,40.92306,-78.00389,2405
KLWX,STERLING,VA,38.97628,-77.48751,88
KLWX,STERLING,VA,38.97528,-77.47806,272
KTLH,TALLAHASSEE,FL,30.3975,-84.32889,63
KTBW,TAMPA,FL,27.70528,-82.40194,41
KTWX,TOPEKA,KS,38.99694,-96.2325,1367
KEMX,TUCSON,AZ,31.89361,-110.63028,5202
KINX,TULSA,OK,36.175,-95.56444,668
KVNX,VANCE AFB,OK,36.74083,-98.1275,1210
KVBX,VANDENBERG AFB,CA,34.83806,-120.39583,1233
KICT,WICHITA,KS,37.65444,-97.4425,1335
KLTX,WILMINGTON,NC,33.98917,-78.42917,64
KYUX,YUMA,AZ,32.49528,-114.65583,174
